Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,Downlink_Start,Downlink_Stop
,,,,896.9,897.1,941.9,942.1
,,,,896.7,896.9,941.7,941.9
,,,,896.5,896.7,941.5,941.7
,,,,896.3,896.5,941.3,941.5
,,,,896.1,896.3,941.1,941.3
,,,,895.9,896.1,940.9,941.1
,,,,895.7,895.9,940.7,940.9
,,,,895.5,895.7,940.5,940.7
,,,,895.3,895.5,940.3,940.5
,,,,895.1,895.3,940.1,940.3
,,,,894.9,895.1,939.9,940.1
,,,,894.7,894.9,939.7,939.9
,,,,894.5,894.7,939.5,939.7
,,,,894.3,894.5,939.3,939.5
,,,,894.1,894.3,939.1,939.3
,,,,893.9,894.1,938.9,939.1
,,,,893.7,893.9,938.7,938.9
,,,,893.5,893.7,938.5,938.7
,,,,893.3,893.5,938.3,938.5
,,,,893.1,893.3,938.1,938.3
,,,Vodafone,906.7,906.9,951.7,951.9
,,,,906.5,906.7,951.5,951.7
,,,,906.3,906.5,951.3,951.5
,,,,906.1,906.3,951.1,951.3
,,,,892.9,893.1,937.9,938.1
,,,,892.7,892.9,937.7,937.9
,,,,892.5,892.7,937.5,937.7
,,,,892.3,892.5,937.3,937.5
,,,,892.1,892.3,937.1,937.3
,,,,891.9,892.1,936.9,937.1
,,,,891.7,891.9,936.7,936.9
,,,,891.5,891.7,936.5,936.7
,,,,891.3,891.5,936.3,936.5
,,,,891.1,891.3,936.1,936.3
,,,,890.9,891.1,935.9,936.1
,,,,890.7,890.9,935.7,935.9
,,,,890.5,890.7,935.5,935.7
,,,,890.3,890.5,935.3,935.5
,,,,890.1,890.3,935.1,935.3
Assam,1800,6.4,Bharti Airtel,1756.3,1756.5,1851.3,1851.5
,,,,1756.5,1756.7,1851.5,1851.7
,,,,1756.7,1756.9,1851.7,1851.9
,,,,1756.9,1757.1,1851.9,1852.1
,,,,1757.1,1757.3,1852.1,1852.3
,,,,1757.3,1757.5,1852.3,1852.5
,,,,1757.5,1757.7,1852.5,1852.7
,,,,1757.7,1757.9,1852.7,1852.9
,,,,1757.9,1758.1,1852.9,1853.1
,,,,1758.1,1758.3,1853.1,1853.3
,,,,1758.3,1758.5,1853.3,1853.5
,,,,1758.5,1758.7,1853.5,1853.7
,,,,1758.7,1758.9,1853.7,1853.9
,,,,1758.9,1759.1,1853.9,1854.1
,,,,1759.1,1759.3,1854.1,1854.3
,,,,1759.3,1759.5,1854.3,1854.5
,,,,1759.5,1759.7,1854.5,1854.7
,,,,1759.7,1759.9,1854.7,1854.9
,,,,1759.9,1760.1,1854.9,1855.1
,,,,1760.1,1760.3,1855.1,1855.3
Bihar,1800,16.81,Bharti Airtel,1756.3,1756.5,1851.3,1851.5
,,,,1756.5,1756.7,1851.5,1851.7
,,,,1756.7,1756.9,1851.7,1851.9
,,,,1756.9,1757.1,1851.9,1852.1
,,,,1757.1,1757.3,1852.1,1852.3
,,,,1757.3,1757.5,1852.3,1852.5
,,,,1757.5,1757.7,1852.5,1852.7
,,,,1757.7,1757.9,1852.7,1852.9
,,,,1757.9,1758.1,1852.9,1853.1
,,,,1758.1,1758.3,1853.1,1853.3
,,,,1758.3,1758.5,1853.3,1853.5
,,,,1758.5,1758.7,1853.5,1853.7
,,,,1758.7,1758.9,1853.7,1853.9
,,,,1758.9,1759.1,1853.9,1854.1
,,,,1759.1,1759.3,1854.1,1854.3
,,,,1759.3,1759.5,1854.3,1854.5
,,,,1759.5,1759.7,1854.5,1854.7
,,,,1759.7,1759.9,1854.7,1854.9
,,,,1759.9,1760.1,1854.9,1855.1
,,,,1760.1,1760.3,1855.1,1855.3
,,,,1760.3,1760.5,1855.3,1855.5
,,,,1760.5,1760.7,1855.5,1855.7
,,,,1760.7,1760.9,1855.7,1855.9
,,,,1760.9,1761.1,1855.9,1856.1
,,,,1761.1,1761.3,1856.1,1856.3
,,,,1761.3,1761.5,1856.3,1856.5
,,,Reliance Jio,1761.5,1761.7,1856.5,1856.7
,,,,1761.7,1761.9,1856.7,1856.9
,,,,1761.9,1762.1,1856.9,1857.1
,,,,1762.1,1762.3,1857.1,1857.3
,,,,1762.3,1762.5,1857.3,1857.5
,,,,1762.5,1762.7,1857.5,1857.7
,,,,1762.7,1762.9,1857.7,1857.9
,,,,1762.9,1763.1,1857.9,1858.1
,,,,1763.1,1763.3,1858.1,1858.3
,,,,1763.3,1763.5,1858.3,1858.5
,,,,1763.5,1763.7,1858.5,1858.7
,,,,1763.7,1763.9,1858.7,1858.9
,,,,1763.9,1764.1,1858.9,1859.1
,,,,1764.1,1764.3,1859.1,1859.3
,,,,1764.3,1764.5,1859.3,1859.5
,,,,1764.5,1764.7,1859.5,1859.7
,,,,1764.7,1764.9,1859.7,1859.9
,,,,1752.7,1752.9,1847.7,1847.9
,,,,1752.9,1753.1,1847.9,1848.1
,,,,1753.1,1753.3,1848.1,1848.3
,,,,1753.3,1753.5,1848.3,1848.5
,,,,1753.5,1753.7,1848.5,1848.7
,,,,1750.5,1750.7,1845.5,1845.7
,,,,1750.7,1750.9,1845.7,1845.9
,,,,1748.5,1748.7,1843.5,1843.7
Haryana,1800,8.2,Bharti Airtel,1746.5,1746.7,1841.5,1841.7
,,,,1746.7,1746.9,1841.7,1841.9
,,,,1746.9,1747.1,1841.9,1842.1
,,,,1747.1,1747.3,1842.1,1842.3
,,,,1747.3,1747.5,1842.3,1842.5
,,,,1747.5,1747.7,1842.5,1842.7
,,,,1747.7,1747.9,1842.7,1842.9
,,,,1747.9,1748.1,1842.9,1843.1
,,,,1748.1,1748.3,1843.1,1843.3
,,,,1748.3,1748.5,1843.3,1843.5
,,,,1748.5,1748.7,1843.5,1843.7
,,,,1748.7,1748.9,1843.7,1843.9
,,,,1748.9,1749.1,1843.9,1844.1
,,,,1749.1,1749.3,1844.1,1844.3
,,,,1749.3,1749.5,1844.3,1844.5
,,,,1749.5,1749.7,1844.5,1844.7
,,,,1749.7,1749.9,1844.7,1844.9
,,,,1749.9,1750.1,1844.9,1845.1
,,,,1750.1,1750.3,1845.1,1845.3
,,,,1750.3,1750.5,1845.3,1845.5
,,,,1750.5,1750.7,1845.5,1845.7
,,,,1750.7,1750.9,1845.7,1845.9
,,,,1750.9,1751.1,1845.9,1846.1
,,,,1751.1,1751.3,1846.1,1846.3
,,,,1751.3,1751.5,1846.3,1846.5
Kolkata,1800,21.8,Bharti Airtel,1753.3,1753.5,1848.3,1848.5
,,,,1753.5,1753.7,1848.5,1848.7
,,,,1753.7,1753.9,1848.7,1848.9
,,,,1753.9,1754.1,1848.9,1849.1
,,,,1754.1,1754.3,1849.1,1849.3
,,,,1754.3,1754.5,1849.3,1849.5
,,,,1754.5,1754.7,1849.5,1849.7
,,,,1754.7,1754.9,1849.7,1849.9
,,,,1754.9,1755.1,1849.9,1850.1
,,,,1755.1,1755.3,1850.1,1850.3
,,,,1755.3,1755.5,1850.3,1850.5
,,,,1755.5,1755.7,1850.5,1850.7
,,,,1755.7,1755.9,1850.7,1850.9
,,,,1755.9,1756.1,1850.9,1851.1
,,,,1756.1,1756.3,1851.1,1851.3
,,,,1756.3,1756.5,1851.3,1851.5
,,,,1756.5,1756.7,1851.5,1851.7
,,,,1756.7,1756.9,1851.7,1851.9
,,,,1756.9,1757.1,1851.9,1852.1
,,,,1757.1,1757.3,1852.1,1852.3
,,,,1757.3,1757.5,1852.3,1852.5
,,,,1757.5,1757.7,1852.5,1852.7
,,,,1757.7,1757.9,1852.7,1852.9
,,,,1757.9,1758.1,1852.9,1853.1
,,,,1758.1,1758.3,1853.1,1853.3
Madhya Pradesh,1800,19.8,Vodafone,1763.7,1763.9,1858.7,1858.9
,,,,1763.9,1764.1,1858.9,1859.1
,,,,1764.1,1764.3,1859.1,1859.3
,,,,1764.3,1764.5,1859.3,1859.5
,,,,1764.5,1764.7,1859.5,1859.7
,,,,1764.7,1764.9,1859.7,1859.9
Odisha,1800,7.8,Bharti Airtel,1771.7,1771.9,1866.7,1866.9
,,,,1771.9,1772.1,1866.9,1867.1
,,,,1772.1,1772.3,1867.1,1867.3
,,,,1772.3,1772.5,1867.3,1867.5
,,,,1772.5,1772.7,1867.5,1867.7
