,Service_Area,Band,Company_Name,Frequency-Quantum,Freq_slices
60,Karnataka,1800,Idea,"1738.3-1743.3,5.0",1738.3-1743.3
61,Karnataka,1800,Reliance Jio,"1759.9-1764.9,5.0",1759.9-1764.9
62,Karnataka,1800,Vodafone,"1733.3-1738.3,5.0",1733.3-1738.3
63,Kerala,1800,Bharti Airtel,"1730.9-1735.9,5.0",1730.9-1735.9
64,Kerala,1800,Idea,"1719.1-1724.1,1751.7-1756.7,5.0,5.0",1719.1-1724.1
65,Kerala,1800,Idea,"1719.1-1724.1,1751.7-1756.7,5.0,5.0",1751.7-1756.7
66,Kerala,1800,Reliance Jio,"1741.1-1746.1,5.0",1741.1-1746.1
67,Kerala,1800,Vodafone,"1724.1-1729.1,1747.3-1749.3,5.0,2.0",1724.1-1729.1
68,Kerala,1800,Vodafone,"1724.1-1729.1,1747.3-1749.3,5.0,2.0",1747.3-1749.3
69,Kolkata,1800,Bharti Airtel,"1721.9-1726.9,5.0",1721.9-1726.9
70,Kolkata,1800,Reliance Jio,"1726.9-1731.9,5.0",1726.9-1731.9
71,Kolkata,1800,Vodafone,"1716.9-1721.9,1747.9-1749.1,1762.5-1764.3,5.0,1.2,1.8",1716.9-1721.9
72,Kolkata,1800,Vodafone,"1716.9-1721.9,1747.9-1749.1,1762.5-1764.3,5.0,1.2,1.8",1747.9-1749.1
73,Kolkata,1800,Vodafone,"1716.9-1721.9,1747.9-1749.1,1762.5-1764.3,5.0,1.2,1.8",1762.5-1764.3
74,Madhya Pradesh,1800,Bharti Airtel,"1726.3-1728.5,1756.3-1759.9,2.2,3.6",1726.3-1728.5
75,Madhya Pradesh,1800,Bharti Airtel,"1726.3-1728.5,1756.3-1759.9,2.2,3.6",1756.3-1759.9
76,Madhya Pradesh,1800,Idea,"1714.5-1715.1,1723.7-1724.1,1737.9-1742.9,1745.7-1746.5,1764.7-1764.9,0.6,0.4,5.0,0.8,0.2",1714.5-1715.1
